Datum,Produktion,Verbrauch,Netzeinspeisung,Netzbezug
2015-04-12,2.076,6.419,0.099,4.684
2015-05-12,0.839,10.429,0.005,9.709
2015-06-12,3.014,8.617,0.04,6.063
2015-07-12,0.047,7.247,0.0,7.193
2015-08-12,6.928,8.304,0.097,2.716
2015-09-12,4.392,5.88,0.141,2.249
2015-10-12,1.595,5.921,0.046,4.438
2015-11-12,0.046,10.26,0.0,10.246
2015-12-12,3.328,10.109,0.083,7.304
2015-12-13,6.031,8.503,0.123,3.368
2015-12-14,0.509,8.362,0.02,7.896
2015-12-15,0.262,10.23,0.0,10.054
2015-12-16,1.027,6.257,0.024,5.429
2015-12-17,0.22,5.199,0.0,5.064
2015-12-18,0.358,6.541,0.009,6.309
2015-12-19,0.32,7.731,0.001,7.478
2015-12-20,0.559,8.409,0.002,7.961
2015-12-21,1.613,6.908,0.077,5.616
2015-12-22,0.037,8.963,0.0,8.951
2015-12-23,2.927,8.708,0.1,6.285
2015-12-24,2.498,7.513,0.041,5.386
2015-12-25,5.286,10.183,0.075,5.647
2015-12-26,0.493,9.492,0.008,9.106
2015-12-27,0.141,9.18,0.0,9.052
2015-12-28,0.205,9.293,0.0,9.177
2015-12-29,0.511,15.539,0.0,15.129
2015-12-30,1.768,9.149,0.06,7.759
2015-12-31,0.091,5.697,0.0,5.677
2016-01-01,2.966,6.299,0.049,3.853
2016-02-01,0.033,6.935,0.0,6.921
2016-03-01,0.529,5.635,0.022,5.232
2016-04-01,1.086,18.19,0.003,17.243
2016-05-01,0.081,9.577,0.0,9.567
2016-06-01,0.079,10.096,0.0,10.085
2016-07-01,0.142,8.264,0.0,8.226
2016-08-01,0.048,9.145,0.0,9.137
2016-09-01,3.332,13.401,0.038,10.616
2016-10-01,1.168,6.247,0.021,5.276
2016-11-01,2.545,8.162,0.026,5.919
2016-12-01,0.916,5.962,0.021,5.206
2016-01-13,0.415,6.495,0.005,6.219
2016-01-14,0.828,10.54,0.012,9.808
2016-01-15,0.23,9.834,0.0,9.658
2016-01-16,0.129,8.647,0.0,8.613
2016-01-17,1.189,9.766,0.019,8.792
2016-01-18,1.457,6.609,0.025,5.365
2016-01-19,2.89,11.355,0.065,8.937
2016-01-20,3.418,8.002,0.231,5.264
2016-01-21,1.256,8.496,0.013,7.334
2016-01-22,8.171,8.018,2.088,3.508
2016-01-23,1.56,8.752,0.041,6.886
2016-01-24,1.016,11.342,0.009,10.446
2016-01-25,0.794,7.681,0.005,7.091
2016-01-26,3.034,9.644,0.078,6.89
2016-01-27,0.108,7.378,0.001,7.329
2016-01-28,6.097,7.986,0.414,3.518
2016-01-29,0.1,9.647,0.005,9.268
2016-01-30,0.184,11.198,0.003,11.097
2016-01-31,3.498,5.481,0.249,2.979
2016-01-02,0.172,7.335,0.0,7.138
2016-02-02,1.943,10.47,0.065,8.83
2016-03-02,5.049,5.457,0.324,2.182
2016-04-02,0.604,6.341,0.008,5.231
2016-05-02,0.263,7.55,0.0,7.364
2016-06-02,0.704,6.864,0.017,6.304
2016-07-02,2.072,9.109,0.057,7.379
2016-08-02,3.568,7.024,0.474,4.452
2016-09-02,2.153,14.791,0.025,12.829
2016-10-02,0.812,7.284,0.012,6.603
2016-11-02,3.924,5.028,0.302,2.15
2016-12-02,1.743,8.142,0.06,6.564
2016-02-13,5.344,8.624,0.218,4.164
2016-02-14,0.145,9.714,0.0,9.586
2016-02-15,1.823,8.944,0.12,7.516
2016-02-16,12.631,10.899,4.038,4.366
2016-02-17,11.585,5.76,5.261,1.575
2016-02-18,1.309,7.941,0.035,5.38
2016-02-19,1.896,10.952,0.069,9.32
2016-02-20,0.328,8.313,0.003,8.07
2016-02-21,0.965,6.916,0.032,6.123
2016-02-22,0.633,6.311,0.009,5.796
2016-02-23,7.689,11.282,1.223,7.218
2016-02-24,8.06,6.735,1.858,1.387
2016-02-25,3.818,8.271,0.347,4.227
2016-02-26,2.155,7.43,0.113,5.691
2016-02-27,6.422,12.92,0.13,7.237
2016-02-28,13.163,7.398,5.694,2.681
